name,date,dateSeen,numHelpful,rating,text,title
Amazon Fire Tv,2017-09-08 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Love it! Glad I got the one with voice command. Don't have extra speakers so this works better than the dot for me.,Echo
Amazon Fire Tv,2017-09-08 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"I love it so far, no problems, easy setup and lots of skills to add on. Plan on using it extensively with home automation.",Loving it!
Amazon Fire Tv,2017-09-08 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Family loves it. Kids use it to play favorite songs, we have it hooked up to lights and there is much more it can do.",Fun gadget
Amazon Fire Tv,2017-09-08 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,I really like the way my account gets point for how cool the purchase was!,Neat Tech
Amazon Fire Tv,2017-09-08 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Helps grand daughter with proper pronounciation of lots of words and names.,Great gadget for my 4 year old grand daughter
Amazon Fire Tv,2017-09-08 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"Purchased this item for a friend, ended up keeping this for my home. Love all the things you can do with this from music to cutting on the lights or other items. Love this!!!",Alexa
Amazon Fire Tv,2017-09-08 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,Perfect addition to our kitchen and can't have picked a better product for our home!,Perfect
Amazon Fire Tv,2017-09-08 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,The Amazon Echo is a fun item to have around the house. It is amazing what you can ask it. The possibilities are endless.,Fun and innovative product
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,This is fun to use. I'm not good with electronics but decided to try this to help organize my life and it does the job.,Seems to do as advertised
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,1.0,5.0,"Love my Amazon Echo, the white looks good in my kitchen. Great speakers, play music all the time. Use the timer feature daily, also alarm ,shopping lists, and reminders. Wish I had one in every room!!!",love it
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,"I GOT MY ECHO AND AM VERY HAPPY WITH IT, ONE OF THE BEST THINGS I HAVE PURCHASED",LOVE IT
Amazon Fire Tv,2017-09-16 00:00:00+00:00,2017-09-28 00:00:00+00:00,0.0,5.0,I didn't know how much I would love this ...but I use it everyday.,Love it
